address,alias_if_known,auto_tier,red_flags_detected,validation_notes,portfolio_value_usd,trades_count,trades_capped,k_markets,l_categories,hhi_cat,win_rate_approx,first_trade,last_trade,days_active,trades_per_day_median,temporal_consistency,composite_score,polymarket_url
0x53e55bc7cb3d67ad177c023ce891ad076a9d6177,Arbguy,reject,erratic_activity,Reject : erratic_activity (1001 trades / 657j),367360.925,1001,False,339,6,0.308,0.7363,2024-07-03,2026-04-22,657,3.0,0.1956,-0.1432,https://polymarket.com/profile/0x53e55bc7cb3d67ad177c023ce891ad076a9d6177
0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5,JoeBlack01,reject,erratic_activity,Reject : erratic_activity (1743 trades / 497j),99354.8105,1743,False,513,6,0.4308,0.638,2024-12-10,2026-04-21,497,5.0,0.2225,-0.1913,https://polymarket.com/profile/0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5
0x3a8aa345d5db7ec5138298c8c4f4540259be7699,TheReturnOfDarthMaul,reject,,"Reject : below thresholds (1649 trades / 71j / $521,693)",521692.9353,1649,False,776,5,0.4766,0.6653,2026-02-09,2026-04-21,71,6,0.8456,-0.2292,https://polymarket.com/profile/0x3a8aa345d5db7ec5138298c8c4f4540259be7699
0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,reject,win_rate_too_high,Reject : win_rate_too_high (3100 trades / 44j),193453.4256,3100,False,354,5,0.2859,0.9977,2026-03-08,2026-04-22,44,14.5,0.9309,-0.3498,https://polymarket.com/profile/0xd218e474776403a330142299f7796e8ba32eb5c9
0xf8ccb567e89c3240359217ebd0b5b5fe7fce5a82,DapperChapper,reject,inactive | erratic_activity,Reject : inactive (508 trades / 594j),251454.1467,508,False,306,6,0.3139,0.937,2024-07-23,2026-03-10,594,2,0.2013,-0.3529,https://polymarket.com/profile/0xf8ccb567e89c3240359217ebd0b5b5fe7fce5a82
0xcbba64cddd05171925ffd05d8f8abd38c83fdbff,Tw1n999,reject,anti_pattern | erratic_activity,Reject : anti_pattern (908 trades / 541j),12210.3097,908,False,339,6,0.3409,0.2357,2024-10-27,2026-04-22,541,2,0.2333,-0.4435,https://polymarket.com/profile/0xcbba64cddd05171925ffd05d8f8abd38c83fdbff
0xe3ff02e324912152479b1a63bf903ddad290805c,0xe3Ff02E324912152479B1A63bf903ddAD290805C-1720947586435,reject,win_rate_too_high | erratic_activity,Reject : win_rate_too_high (949 trades / 564j),3722.3123,949,False,482,5,0.4497,0.9536,2024-10-04,2026-04-22,564,4,0.156,-0.526,https://polymarket.com/profile/0xe3ff02e324912152479b1a63bf903ddad290805c
0x00425c692a667981118f679ef68fdc775257321e,99problems123,reject,,"Reject : below thresholds (901 trades / 79j / $275,377)",275377.4114,901,False,197,6,0.2979,0.7947,2026-02-01,2026-04-21,79,9,0.7737,-0.5911,https://polymarket.com/profile/0x00425c692a667981118f679ef68fdc775257321e
0xe40ea00e74059c76c0035c919ef6b99c3e25a94d,restart77,reject,erratic_activity,Reject : erratic_activity (645 trades / 422j),245147.9166,645,False,215,5,0.3479,0.724,2025-02-24,2026-04-22,422,2,0.2827,-0.6164,https://polymarket.com/profile/0xe40ea00e74059c76c0035c919ef6b99c3e25a94d
0x362ea6c4dbafffe5df6a3cc6f8f4029547238983,KamAlla,reject,erratic_activity,Reject : erratic_activity (136 trades / 581j),73840.134,136,False,87,6,0.2682,0.7279,2024-09-11,2026-04-15,581,2.0,0.0652,-0.6255,https://polymarket.com/profile/0x362ea6c4dbafffe5df6a3cc6f8f4029547238983
0x5d189e816b4149be00977c1a3c8840374aec4972,gloriafoster,reject,erratic_activity,Reject : erratic_activity (332 trades / 326j),348119.3215,332,False,113,5,0.2992,0.8886,2025-05-30,2026-04-22,326,2.5,0.1069,-0.7031,https://polymarket.com/profile/0x5d189e816b4149be00977c1a3c8840374aec4972
0x8e5c0cc55cda93d6cae14becb3b738a44dcaa68a,cocos228,reject,erratic_activity,Reject : erratic_activity (248 trades / 636j),344732.3343,248,False,70,4,0.3911,0.8468,2024-07-24,2026-04-22,636,2,0.0821,-0.7227,https://polymarket.com/profile/0x8e5c0cc55cda93d6cae14becb3b738a44dcaa68a
